HYBULA ANTIDOTE V4 BLACKLIST (12:00:04 14-07-2021) - [IP,TYPE,SOURCE,COMMENT]
1.234.20.244,Botnets,Feodo,-
1.234.21.73,Botnets,Feodo,-
103.101.104.229,Botnets,Feodo,-
103.12.160.164,Botnets,Feodo,-
103.122.228.44,Botnets,Feodo,-
103.124.145.98,Botnets,Feodo,-
103.150.68.124,Botnets,Feodo,-
103.164.180.66,Botnets,Feodo,-
103.253.145.28,Botnets,Feodo,-
103.40.116.68,Botnets,Feodo,-
103.42.57.18,Botnets,Feodo,-
103.6.213.203,Botnets,Feodo,-
103.73.102.174,Botnets,Feodo,-
103.9.77.211,Botnets,Feodo,-
104.168.154.79,Botnets,Feodo,-
104.168.155.113,Botnets,Feodo,-
104.168.155.129,Botnets,Feodo,-
105.30.26.50,Botnets,Feodo,-
107.170.211.239,Botnets,Feodo,-
107.170.64.97,Botnets,Feodo,-
108.55.14.158,Botnets,Feodo,-
111.230.104.169,Botnets,Feodo,-
111.235.66.83,Botnets,Feodo,-
113.160.132.237,Botnets,Feodo,-
115.68.220.48,Botnets,Feodo,-
116.212.152.225,Botnets,Feodo,-
119.202.8.249,Botnets,Feodo,-
121.199.35.69,Botnets,Feodo,-
123.206.58.135,Botnets,Feodo,-
128.199.36.62,Botnets,Feodo,-
131.100.24.199,Botnets,Feodo,-
131.100.24.202,Botnets,Feodo,-
131.100.24.215,Botnets,Feodo,-
131.100.24.217,Botnets,Feodo,-
131.100.24.230,Botnets,Feodo,-
131.100.24.231,Botnets,Feodo,-
138.197.133.25,Botnets,Feodo,-
139.59.59.242,Botnets,Feodo,-
14.232.161.45,Botnets,Feodo,-
14.241.244.60,Botnets,Feodo,-
142.4.219.173,Botnets,Feodo,-
142.44.247.57,Botnets,Feodo,-
142.93.181.37,Botnets,Feodo,-
142.93.223.149,Botnets,Feodo,-
143.0.208.20,Botnets,Feodo,-
144.202.49.155,Botnets,Feodo,-
144.48.139.206,Botnets,Feodo,-
144.76.1.150,Botnets,Feodo,-
144.76.42.74,Botnets,Feodo,-
146.185.170.249,Botnets,Feodo,-
148.235.154.164,Botnets,Feodo,-
150.95.20.209,Botnets,Feodo,-
153.122.13.133,Botnets,Feodo,-
153.126.165.175,Botnets,Feodo,-
153.126.203.229,Botnets,Feodo,-
154.79.244.182,Botnets,Feodo,-
154.79.245.158,Botnets,Feodo,-
154.79.251.172,Botnets,Feodo,-
158.181.179.229,Botnets,Feodo,-
158.69.118.130,Botnets,Feodo,-
159.224.167.102,Botnets,Feodo,-
159.69.237.186,Botnets,Feodo,-
159.8.59.82,Botnets,Feodo,-
162.13.114.59,Botnets,Feodo,-
162.144.127.197,Botnets,Feodo,-
162.144.34.234,Botnets,Feodo,-
162.144.76.184,Botnets,Feodo,-
162.214.106.107,Botnets,Feodo,-
162.214.127.16,Botnets,Feodo,-
162.214.188.105,Botnets,Feodo,-
162.241.41.92,Botnets,Feodo,-
162.241.54.59,Botnets,Feodo,-
162.243.237.209,Botnets,Feodo,-
164.68.126.207,Botnets,Feodo,-
167.172.119.42,Botnets,Feodo,-
170.238.117.187,Botnets,Feodo,-
172.105.110.194,Botnets,Feodo,-
173.203.78.138,Botnets,Feodo,-
175.126.167.148,Botnets,Feodo,-
176.31.117.84,Botnets,Feodo,-
177.10.90.29,Botnets,Feodo,-
177.154.161.246,Botnets,Feodo,-
177.67.137.111,Botnets,Feodo,-
177.87.0.7,Botnets,Feodo,-
178.128.197.110,Botnets,Feodo,-
178.128.23.9,Botnets,Feodo,-
178.128.83.165,Botnets,Feodo,-
178.134.47.166,Botnets,Feodo,-
178.254.22.25,Botnets,Feodo,-
178.254.33.197,Botnets,Feodo,-
178.79.147.66,Botnets,Feodo,-
178.79.150.86,Botnets,Feodo,-
18.195.23.231,Botnets,Feodo,-
180.250.21.2,Botnets,Feodo,-
180.250.21.5,Botnets,Feodo,-
181.112.157.42,Botnets,Feodo,-
181.114.215.239,Botnets,Feodo,-
181.129.242.202,Botnets,Feodo,-
181.143.251.154,Botnets,Feodo,-
181.167.217.53,Botnets,Feodo,-
182.253.106.35,Botnets,Feodo,-
184.74.99.214,Botnets,Feodo,-
185.148.168.220,Botnets,Feodo,-
185.148.168.240,Botnets,Feodo,-
185.148.168.25,Botnets,Feodo,-
185.181.9.76,Botnets,Feodo,-
185.184.25.235,Botnets,Feodo,-
185.189.55.207,Botnets,Feodo,-
185.234.72.84,Botnets,Feodo,-
185.59.223.86,Botnets,Feodo,-
185.80.92.160,Botnets,Feodo,-
185.81.51.44,Botnets,Feodo,-
185.9.187.10,Botnets,Feodo,-
186.225.119.170,Botnets,Feodo,-
186.225.63.18,Botnets,Feodo,-
186.97.172.178,Botnets,Feodo,-
187.19.167.233,Botnets,Feodo,-
188.40.137.206,Botnets,Feodo,-
189.206.78.155,Botnets,Feodo,-
190.109.204.126,Botnets,Feodo,-
190.110.179.139,Botnets,Feodo,-
190.144.10.242,Botnets,Feodo,-
190.145.83.98,Botnets,Feodo,-
190.197.55.254,Botnets,Feodo,-
190.61.43.241,Botnets,Feodo,-
192.163.233.216,Botnets,Feodo,-
192.99.41.136,Botnets,Feodo,-
193.47.240.8,Botnets,Feodo,-
193.90.12.121,Botnets,Feodo,-
194.5.249.143,Botnets,Feodo,-
194.58.98.196,Botnets,Feodo,-
195.210.28.233,Botnets,Feodo,-
195.8.114.137,Botnets,Feodo,-
195.9.232.252,Botnets,Feodo,-
195.9.84.106,Botnets,Feodo,-
196.216.59.174,Botnets,Feodo,-
196.43.106.38,Botnets,Feodo,-
197.254.14.238,Botnets,Feodo,-
198.1.115.153,Botnets,Feodo,-
199.204.214.52,Botnets,Feodo,-
200.142.124.146,Botnets,Feodo,-
200.236.218.62,Botnets,Feodo,-
201.55.206.238,Botnets,Feodo,-
202.138.242.7,Botnets,Feodo,-
202.165.47.106,Botnets,Feodo,-
202.166.196.111,Botnets,Feodo,-
203.114.109.114,Botnets,Feodo,-
203.176.138.46,Botnets,Feodo,-
204.138.26.220,Botnets,Feodo,-
207.210.192.60,Botnets,Feodo,-
207.58.132.19,Botnets,Feodo,-
209.151.236.42,Botnets,Feodo,-
209.20.87.138,Botnets,Feodo,-
209.44.106.71,Botnets,Feodo,-
209.59.199.129,Botnets,Feodo,-
210.65.244.169,Botnets,Feodo,-
210.65.244.176,Botnets,Feodo,-
210.65.244.179,Botnets,Feodo,-
210.65.244.182,Botnets,Feodo,-
210.65.244.183,Botnets,Feodo,-
210.65.244.186,Botnets,Feodo,-
210.65.244.187,Botnets,Feodo,-
211.110.44.63,Botnets,Feodo,-
212.200.25.118,Botnets,Feodo,-
212.227.94.31,Botnets,Feodo,-
213.159.208.145,Botnets,Feodo,-
216.10.242.142,Botnets,Feodo,-
216.10.251.121,Botnets,Feodo,-
216.177.161.118,Botnets,Feodo,-
217.160.78.166,Botnets,Feodo,-
217.79.184.243,Botnets,Feodo,-
220.82.64.198,Botnets,Feodo,-
222.124.16.74,Botnets,Feodo,-
23.160.193.106,Botnets,Feodo,-
24.162.214.166,Botnets,Feodo,-
27.72.107.215,Botnets,Feodo,-
31.207.89.74,Botnets,Feodo,-
36.89.191.119,Botnets,Feodo,-
36.89.193.181,Botnets,Feodo,-
36.89.193.235,Botnets,Feodo,-
36.94.100.202,Botnets,Feodo,-
36.94.27.124,Botnets,Feodo,-
37.187.115.122,Botnets,Feodo,-
37.247.35.130,Botnets,Feodo,-
37.34.58.210,Botnets,Feodo,-
37.59.103.148,Botnets,Feodo,-
38.110.100.104,Botnets,Feodo,-
38.110.100.33,Botnets,Feodo,-
38.110.103.19,Botnets,Feodo,-
41.57.156.203,Botnets,Feodo,-
41.77.185.182,Botnets,Feodo,-
43.229.206.212,Botnets,Feodo,-
43.229.206.214,Botnets,Feodo,-
43.229.206.244,Botnets,Feodo,-
43.245.216.116,Botnets,Feodo,-
45.123.40.54,Botnets,Feodo,-
45.158.199.220,Botnets,Feodo,-
45.167.249.126,Botnets,Feodo,-
45.201.134.202,Botnets,Feodo,-
45.201.136.3,Botnets,Feodo,-
45.229.71.211,Botnets,Feodo,-
45.233.146.114,Botnets,Feodo,-
45.234.248.154,Botnets,Feodo,-
45.239.233.131,Botnets,Feodo,-
45.239.234.2,Botnets,Feodo,-
45.33.94.33,Botnets,Feodo,-
45.36.99.184,Botnets,Feodo,-
45.55.134.126,Botnets,Feodo,-
45.58.56.12,Botnets,Feodo,-
45.79.91.89,Botnets,Feodo,-
46.101.90.205,Botnets,Feodo,-
46.209.140.220,Botnets,Feodo,-
49.156.34.134,Botnets,Feodo,-
49.248.217.170,Botnets,Feodo,-
5.182.210.132,Botnets,Feodo,-
5.182.210.254,Botnets,Feodo,-
5.34.74.210,Botnets,Feodo,-
50.116.23.195,Botnets,Feodo,-
50.116.54.215,Botnets,Feodo,-
50.249.212.98,Botnets,Feodo,-
51.178.161.32,Botnets,Feodo,-
51.75.77.27,Botnets,Feodo,-
51.77.82.110,Botnets,Feodo,-
51.91.156.39,Botnets,Feodo,-
51.91.76.89,Botnets,Feodo,-
52.73.70.149,Botnets,Feodo,-
54.191.98.150,Botnets,Feodo,-
54.37.106.167,Botnets,Feodo,-
54.38.143.246,Botnets,Feodo,-
62.64.9.237,Botnets,Feodo,-
62.75.161.205,Botnets,Feodo,-
62.75.168.152,Botnets,Feodo,-
66.113.160.126,Botnets,Feodo,-
66.62.113.113,Botnets,Feodo,-
67.196.50.240,Botnets,Feodo,-
67.213.75.205,Botnets,Feodo,-
72.249.22.245,Botnets,Feodo,-
74.85.157.139,Botnets,Feodo,-
77.220.64.137,Botnets,Feodo,-
77.220.64.141,Botnets,Feodo,-
77.220.64.146,Botnets,Feodo,-
78.47.139.43,Botnets,Feodo,-
79.143.186.143,Botnets,Feodo,-
80.211.33.13,Botnets,Feodo,-
81.0.236.71,Botnets,Feodo,-
85.175.171.246,Botnets,Feodo,-
85.187.234.15,Botnets,Feodo,-
85.87.148.200,Botnets,Feodo,-
85.88.174.94,Botnets,Feodo,-
87.106.97.83,Botnets,Feodo,-
87.97.178.92,Botnets,Feodo,-
88.150.240.129,Botnets,Feodo,-
89.37.1.2,Botnets,Feodo,-
91.191.172.124,Botnets,Feodo,-
91.200.186.229,Botnets,Feodo,-
91.207.28.33,Botnets,Feodo,-
91.235.129.79,Botnets,Feodo,-
91.235.129.8,Botnets,Feodo,-
91.83.88.122,Botnets,Feodo,-
92.38.128.47,Botnets,Feodo,-
93.186.200.154,Botnets,Feodo,-
94.183.237.101,Botnets,Feodo,-
94.23.86.141,Botnets,Feodo,-
94.247.168.64,Botnets,Feodo,-
94.28.78.200,Botnets,Feodo,-
94.74.133.76,Botnets,Feodo,-
95.111.235.8,Botnets,Feodo,-
95.138.161.226,Botnets,Feodo,-
97.107.127.161,Botnets,Feodo,-
97.107.127.227,Botnets,Feodo,-
97.83.40.67,Botnets,Feodo,-
1.1.186.249,SSH,Blocklist.de,-
1.1.210.122,SSH,Blocklist.de,-
1.1.226.57,SSH,Blocklist.de,-
1.1.245.169,SSH,Blocklist.de,-
1.10.185.146,SSH,Blocklist.de,-
1.10.246.179,SSH,Blocklist.de,-
1.11.201.18,SSH,Blocklist.de,-
1.116.1.22,SSH,Blocklist.de,-
1.116.100.254,SSH,Blocklist.de,-
1.116.101.225,SSH,Blocklist.de,-
1.116.101.231,SSH,Blocklist.de,-
1.116.110.76,SSH,Blocklist.de,-
1.116.115.110,SSH,Blocklist.de,-
1.116.116.190,SSH,Blocklist.de,-
1.116.126.44,SSH,Blocklist.de,-
1.116.131.155,SSH,Blocklist.de,-
1.116.131.247,SSH,Blocklist.de,-
1.116.135.59,SSH,Blocklist.de,-
1.116.136.239,SSH,Blocklist.de,-
1.116.139.71,SSH,Blocklist.de,-
1.116.143.173,SSH,Blocklist.de,-
1.116.143.211,SSH,Blocklist.de,-
1.116.16.205,SSH,Blocklist.de,-
1.116.163.238,SSH,Blocklist.de,-
1.116.175.189,SSH,Blocklist.de,-
1.116.175.220,SSH,Blocklist.de,-
1.116.175.40,SSH,Blocklist.de,-
1.116.177.118,SSH,Blocklist.de,-
1.116.177.88,SSH,Blocklist.de,-
1.116.178.163,SSH,Blocklist.de,-
1.116.178.195,SSH,Blocklist.de,-
1.116.180.88,SSH,Blocklist.de,-
1.116.190.161,SSH,Blocklist.de,-
